question,context,answer
extract entities from this contract excerpt,"The Stockholders Agreement executed on December 20, 2024, governs the relationship between majority shareholder Tech Innovators Inc. (65% ownership) and minority shareholders including Venture Fund XYZ (20% ownership) and employee option holders (15% ownership). Delaware Corporation Service Company acts as registered agent. The agreement includes a sunset provision expiring on December 19, 2034, unless the company achieves an IPO or sale before that date.","{'parties': [{'name': 'Tech Innovators Inc.', 'role': 'Majority Shareholder', 'ownership_percentage': '65%'}, {'name': 'Venture Fund XYZ', 'role': 'Minority Shareholder', 'ownership_percentage': '20%'}, {'name': 'Employee Option Holders', 'role': 'Minority Shareholders', 'ownership_percentage': '15%'}, {'name': 'Delaware Corporation Service Company', 'role': 'Registered Agent'}], 'dates': [{'type': 'execution_date', 'date': 'December 20, 2024'}, {'type': 'sunset_provision_date', 'date': 'December 19, 2034', 'condition': 'unless company achieves IPO or sale before that date'}, {'type': 'execution_date', 'date': 'March 15, 2024'}]}"
extract entities from this contract excerpt,"Pursuant to Section 4.2 of the Investment Agreement dated January 10, 2024, Venture Capital Partners LP shall have the right to appoint two (2) members to the Board of Directors so long as it maintains ownership of at least 15% of the outstanding shares. Sarah Chen, as General Partner of Venture Capital Partners LP, is hereby designated as the initial board appointee. The anti-dilution provisions set forth in Exhibit C shall apply to any future equity issuances.","{'parties': [{'name': 'Venture Capital Partners LP', 'role': 'Investor'}, {'name': 'Sarah Chen', 'role': 'Board Appointee', 'capacity': 'General Partner of Venture Capital Partners LP'}], 'dates': [{'type': 'reference_agreement_date', 'date': 'January 10, 2024', 'document': 'Investment Agreement'}]}"
extract entities from this contract excerpt,"The earnout provision requires additional payments of up to $5,000,000 based on achievement of revenue milestones: $2,000,000 if annual revenue exceeds $15,000,000 by December 31, 2025, and an additional $3,000,000 if annual revenue exceeds $25,000,000 by December 31, 2026. Failure to achieve the first milestone will result in forfeiture of rights to the second milestone payment.","{'dates': [{'type': 'milestone_deadline', 'date': 'December 31, 2025', 'purpose': 'first revenue milestone'}, {'type': 'milestone_deadline', 'date': 'December 31, 2026', 'purpose': 'second revenue milestone'}]}"
extract entities from this contract excerpt,"BlackStone Investments LLC, acting through its wholly-owned subsidiary BlackStone Capital Management Inc., hereby agrees to the following terms. The beneficial owner of BlackStone Investments LLC is disclosed as Robert Kim (45% interest) and the Kim Family Trust (55% interest), with Kim Family Trust being managed by Jennifer Kim as trustee. This agreement shall terminate automatically on June 30, 2027, unless extended by mutual written consent.","{'parties': [{'name': 'BlackStone Investments LLC', 'role': 'Primary Party'}, {'name': 'BlackStone Capital Management Inc.', 'role': 'Operating Subsidiary', 'relationship': 'wholly-owned subsidiary of BlackStone Investments LLC'}, {'name': 'Robert Kim', 'role': 'Beneficial Owner', 'ownership_percentage': '45%'}, {'name': 'Kim Family Trust', 'role': 'Beneficial Owner', 'ownership_percentage': '55%'}, {'name': 'Jennifer Kim', 'role': 'Trustee', 'capacity': 'Trustee of Kim Family Trust'}], 'dates': [{'type': 'automatic_termination_date', 'date': 'June 30, 2027', 'condition': 'unless extended by mutual written consent'}]}"
extract entities from this contract excerpt,"In the event of material breach, the non-breaching party may terminate this agreement upon thirty (30) days written notice. Liquidated damages shall be $500,000 for termination due to buyer's breach, or $250,000 for termination due to seller's breach. Global Industries Corp. has provided a corporate guarantee for all obligations of its subsidiary, Regional Manufacturing LLC.","{'parties': [{'name': 'Global Industries Corp.', 'role': 'Corporate Guarantor'}, {'name': 'Regional Manufacturing LLC', 'role': 'Subsidiary', 'relationship': 'subsidiary of Global Industries Corp.'}]}"
extract entities from this contract excerpt,"The Management Services Agreement effective April 1, 2024, grants Omega Consulting Group exclusive management rights for a period of five (5) years, with automatic renewal for successive two-year terms unless either party provides 180 days written notice. Monthly management fees of $75,000 are payable in advance on the first business day of each month, subject to annual increases of 3%.","{'parties': [{'name': 'Omega Consulting Group', 'role': 'Service Provider'}], 'dates': [{'type': 'effective_date', 'date': 'April 1, 2024'}]}"
extract entities from this contract excerpt,"Pursuant to the Shareholders Agreement, MegaCorp Inc. retains a right of first refusal on any proposed transfer of shares by minority shareholders. Additionally, MegaCorp Inc. holds drag-along rights allowing it to force minority shareholders to participate in any sale of the company, provided the purchase price exceeds $100,000,000. The registered agent for service of process is CT Corporation System, located at 1 State Street, New York, NY 10004.","{'parties': [{'name': 'MegaCorp Inc.', 'role': 'Majority Shareholder'}, {'name': 'CT Corporation System', 'role': 'Registered Agent', 'address': '1 State Street, New York, NY 10004'}]}"
extract entities from this contract excerpt,"The Preferred Stock Purchase Agreement dated February 28, 2024, includes a 1.5x liquidation preference for Series A Preferred shareholders, with participation rights capped at 3x the original investment. In addition, Series A holders have blocking rights over any transaction involving the sale of substantially all company assets or any merger where existing shareholders would own less than 50% of the surviving entity.","{'dates': [{'type': 'agreement_date', 'date': 'February 28, 2024', 'document': 'Preferred Stock Purchase Agreement'}]}"
extract entities from this contract excerpt,"Effective January 1, 2025, the License Agreement grants EuroTech GmbH exclusive distribution rights for the European Economic Area for an initial term of seven (7) years. Minimum annual royalties of €2,500,000 are required, calculated at 8% of net sales, with quarterly reporting due within 45 days of quarter end. Failure to meet minimum royalties in any two consecutive years constitutes grounds for termination.","{'parties': [{'name': 'EuroTech GmbH', 'role': 'Licensee/Distributor'}], 'dates': [{'type': 'effective_date', 'date': 'January 1, 2025'}]}"
extract entities from this contract excerpt,"The Employment Agreement executed on November 12, 2024, provides for an annual base salary of $350,000, with eligibility for discretionary bonus up to 75% of base salary based on individual and company performance metrics. Upon termination without cause, the executive is entitled to 12 months base salary continuation and COBRA premium payments for 18 months. Marcus Johnson, as Chairman of the Compensation Committee, has approved these terms in accordance with the company's executive compensation policy.","{'parties': [{'name': 'Marcus Johnson', 'role': 'Compensation Committee Chairman'}], 'dates': [{'type': 'execution_date', 'date': 'November 12, 2024', 'document': 'Employment Agreement'}]}"
