,question,answer,context
10,"
How did young Roman males from the upper class transition into adulthood and leadership roles?
","
At age 14, upper-class Roman males underwent a rite of passage and received mentorship from senior family members to learn leadership skills.
","At the age of 14, upperclass males made their rite of passage into adulthood, and began to learn leadership roles through mentoring from a senior family member or family friend. Higher education was provided by grammatici or rhetores. The grammaticus or ""grammarian"" taught mainly Greek and Latin literature, with history, geography, philosophy or mathematics treated as explications of the text. With the rise of Augustus, contemporary Latin authors such as Virgil and Livy also became part of the curriculum. The rhetor was a teacher of oratory or public speaking. The art of speaking (ars dicendi) was highly prized, and eloquentia (""speaking ability, eloquence"") was considered the ""glue"" of civilized society. Rhetoric was not so much a body of knowledge (though it required a command of the literary canon) as it was a mode of expression that distinguished those who held social power. The ancient model of rhetorical training—""restraint, coolness under pressure, modesty, and good

The dominance of Latin and Greek among the literate elite obscure the continuity of other spoken languages within the Empire. Latin, referred to in its spoken form as Vulgar Latin, gradually replaced Celtic and Italic languages. References to interpreters indicate the continuing use of local languages, particularly in Egypt with Coptic, and in military settings along the Rhine and Danube. Roman jurists also show a concern for local languages such as Punic, Gaulish, and Aramaic in assuring the correct understanding of laws and oaths. In Africa, Libyco-Berber and Punic were used in inscriptions into the 2nd century. In Syria, Palmyrene soldiers used their dialect of Aramaic for inscriptions, an exception to the rule that Latin was the language of the military. The last reference to Gaulish was between 560 and 575. The emergent Gallo-Romance languages would then be shaped by Gaulish. Proto-Basque or Aquitanian evolved with Latin loan words to modern Basque. The Thracian language, as were

Under Augustus, public entertainments were presented on 77 days of the year; by the reign of Marcus Aurelius, this had expanded to 135. Circus games were preceded by an elaborate parade (pompa circensis) that ended at the venue. Competitive events were held also in smaller venues such as the amphitheatre, which became the characteristic Roman spectacle venue, and stadium. Greek-style athletics included footraces, boxing, wrestling, and the pancratium. Aquatic displays, such as the mock sea battle (naumachia) and a form of ""water ballet"", were presented in engineered pools. State-supported theatrical events (ludi scaenici) took place on temple steps or in grand stone theatres, or in the smaller enclosed theatre called an odeon."
11,"
What was the attitude towards educated women in Roman society during the Augustan period?
","
Education for women was valued in Roman society, particularly among the upper classes where an educated wife was considered socially advantageous.
","The Romans thought of themselves as highly religious, and attributed their success to their collective piety (pietas) and good relations with the gods (pax deorum). The archaic religion believed to have come from the earliest kings of Rome was the foundation of the mos maiorum, ""the way of the ancestors"", central to Roman identity.

Literate women ranged from cultured aristocrats to girls trained to be calligraphers and scribes. The ideal woman in Augustan love poetry was educated and well-versed in the arts. Education seems to have been standard for daughters of the senatorial and equestrian orders. An educated wife was an asset for the socially ambitious household.

== Geography and demography =="
12,"
When did Gallo-Romance languages begin to emerge and what influenced them?
","
Gallo-Romance languages emerged between 560 and 575 AD and were influenced by the Gaulish language.
","=== Census rank ===

The Latin word ordo (plural ordines) is translated variously and inexactly into English as ""class, order, rank"". One purpose of the Roman census was to determine the ordo to which an individual belonged. Two of the highest ordines in Rome were the senatorial and equestrian. Outside Rome, cities or colonies were led by decurions, also known as curiales.

Other officials were appointed as supervisors of government finances. Separating fiscal responsibility from justice and administration was a reform of the Imperial era, to avoid provincial governors and tax farmers exploiting local populations for personal gain. Equestrian procurators, whose authority was originally ""extra-judicial and extra-constitutional"", managed both state-owned property and the personal property of the emperor (res privata). Because Roman government officials were few, a provincial who needed help with a legal dispute or criminal case might seek out any Roman perceived to have some official capacity.
In the High Empire, Italy was legally distinguished from the provinces, and along with some favored provincial communities, enjoyed immunity from the property tax and poll tax. However, under the Emperor Diocletian, Italy lost these privileges and was subdivided into provinces.

between 560 and 575. The emergent Gallo-Romance languages would then be shaped by Gaulish. Proto-Basque or Aquitanian evolved with Latin loan words to modern Basque. The Thracian language, as were several now-extinct languages in Anatolia, are attested in Imperial-era inscriptions."
13,"
Who created the authoritative Latin translation of the Bible known as the Vulgate?
","
Jerome produced the Vulgate in the late 4th century, which became the authoritative Latin translation of the Bible.
","Estimates of the average literacy rate range from 5 to over 30%. The Roman obsession with documents and inscriptions indicates the value placed on the written word. Laws and edicts were posted as well as read out. Illiterate Roman subjects could have a government scribe (scriba) read or write their official documents for them. The military produced extensive written records. The Babylonian Talmud declared ""if all seas were ink, all reeds were pen, all skies parchment, and all men scribes, they would be unable to set down the full scope of the Roman government's concerns"".
Numeracy was necessary for commerce. Slaves were numerate and literate in significant numbers; some were highly educated. Graffiti and low-quality inscriptions with misspellings and solecisms indicate casual literacy among non-elites.

From the 2nd to the 4th centuries, Christian authors were in active dialogue with the classical tradition. Tertullian was one of the earliest prose authors with a distinctly Christian voice. After the conversion of Constantine, Latin literature is dominated by the Christian perspective. In the late 4th century, Jerome produced the Latin translation of the Bible that became authoritative as the Vulgate. Around that same time, Augustine wrote The City of God against the Pagans, considered ""a masterpiece of Western culture"".
In contrast to the unity of Classical Latin, the literary esthetic of late antiquity has a tessellated quality. A continuing interest in the religious traditions of Rome prior to Christian dominion is found into the 5th century, with the Saturnalia of Macrobius and The Marriage of Philology and Mercury of Martianus Capella. Latin poets of late antiquity include Ausonius, Prudentius, Claudian, and Sidonius Apollinaris.

Taxation under the Empire amounted to about 5% of its gross product. The typical tax rate for individuals ranged from 2 to 5%. The tax code was ""bewildering"" in its complicated system of direct and indirect taxes, some paid in cash and some in kind. Taxes might be specific to a province, or kinds of properties such as fisheries; they might be temporary. Tax collection was justified by the need to maintain the military, and taxpayers sometimes got a refund if the army captured a surplus of booty. In-kind taxes were accepted from less-monetized areas, particularly those who could supply grain or goods to army camps."
14,"
How did Roman philosophers and intellectuals view gladiatorial games?
","
Roman thinkers had divided opinions, with Pliny seeing them as inspiring courage while others like Seneca and Tertullian criticized their brutality but found different meanings in the spectacles.
","Augustus' programme of urban renewal, and the growth of Rome's population to as many as one million, was accompanied by nostalgia for rural life. Poetry idealized the lives of farmers and shepherds. Interior decorating often featured painted gardens, fountains, landscapes, vegetative ornament, and animals, rendered accurately enough to be identified by species. On a more practical level, the central government took an active interest in supporting agriculture. Producing food was the priority of land use. Larger farms (latifundia) achieved an economy of scale that sustained urban life. Small farmers benefited from the development of local markets in towns and trade centres. Agricultural techniques such as crop rotation and selective breeding were disseminated throughout the Empire, and new crops were introduced from one province to another.

Modern scholars have found the pleasure Romans took in the ""theatre of life and death"" difficult to understand. Pliny the Younger rationalized gladiator spectacles as good for the people, ""to inspire them to face honourable wounds and despise death, by exhibiting love of glory and desire for victory"". Some Romans such as Seneca were critical of the brutal spectacles, but found virtue in the courage and dignity of the defeated fighter—an attitude that finds its fullest expression with the Christians martyred in the arena. Tertullian considered deaths in the arena to be nothing more than a dressed-up form of human sacrifice. Even martyr literature, however, offers ""detailed, indeed luxuriant, descriptions of bodily suffering"", and became a popular genre at times indistinguishable from fiction.

== Religion =="
15,"
What were the requirements to become an equestrian in the Roman Empire?
","
To qualify as an equestrian, a man needed a wealth of 400,000 sesterces and three generations of free-born ancestry.
","The public has long since cast off its cares: the people that once bestowed commands, consulships, legions and all else, now meddles no more and longs eagerly for just two things: bread and circuses.


=== Health and disease ===

Senators were the traditional governing class who rose through the cursus honorum, the political career track, but equestrians often possessed greater wealth and political power. Membership in the equestrian order was based on property; in Rome's early days, equites or knights had been distinguished by their ability to serve as mounted warriors, but cavalry service was a separate function in the Empire. A census valuation of 400,000 sesterces and three generations of free birth qualified a man as an equestrian. The census of 28 BC uncovered large numbers of men who qualified, and in 14 AD, a thousand equestrians were registered at Cádiz and Padua alone. Equestrians rose through a military career track (tres militiae) to become highly placed prefects and procurators within the Imperial administration.

At the time of Augustus, as many as 35% of the people in Roman Italy were slaves, making Rome one of five historical ""slave societies"" in which slaves constituted at least a fifth of the population and played a major role in the economy. Slavery was a complex institution that supported traditional Roman social structures as well as contributing economic utility. In urban settings, slaves might be professionals such as teachers, physicians, chefs, and accountants; the majority of slaves provided trained or unskilled labour. Agriculture and industry, such as milling and mining, relied on the exploitation of slaves. Outside Italy, slaves were on average an estimated 10 to 20% of the population, sparse in Roman Egypt but more concentrated in some Greek areas. Expanding Roman ownership of arable land and industries affected preexisting practices of slavery in the provinces. Although slavery has often been regarded as waning in the 3rd and 4th centuries, it remained an integral part of"
16,"
How did Augustus use religion to strengthen his rule over the Roman Empire?
","
Augustus implemented religious reforms that directed public worship towards the emperor's wellbeing and established emperor worship as a state religion, effectively legitimizing one-man rule.
","Refined cuisine could be moralized as a sign of either civilized progress or decadent decline. Most often, because of the importance of landowning in Roman culture, produce—cereals, legumes, vegetables, and fruit—were considered more civilized foods than meat. The Mediterranean staples of bread, wine, and oil were sacralized by Roman Christianity, while Germanic meat consumption became a mark of paganism. Some philosophers and Christians resisted the demands of the body and the pleasures of food, and adopted fasting as an ideal. Food became simpler in general as urban life in the West diminished and trade routes were disrupted; the Church formally discouraged gluttony, and hunting and pastoralism were seen as simple and virtuous.

In the wake of the Republic's collapse, state religion adapted to support the new regime. Augustus justified one-man rule with a vast programme of religious revivalism and reform. Public vows now were directed at the wellbeing of the emperor. So-called ""emperor worship"" expanded on a grand scale the traditional veneration of the ancestral dead and of the Genius, the divine tutelary of every individual. Upon death, an emperor could be made a state divinity (divus) by vote of the Senate. The Roman imperial cult, influenced by Hellenistic ruler cult, became one of the major ways Rome advertised its presence in the provinces and cultivated shared cultural identity. Cultural precedent in the Eastern provinces facilitated a rapid dissemination of Imperial cult, extending as far as Najran, in present-day Saudi Arabia. Rejection of the state religion became tantamount to treason.

By 100 BC, the city of Rome had expanded its rule from the Italian peninsula to most of the Mediterranean and beyond. However, it was severely destabilised by civil wars and political conflicts, which culminated in the victory of Octavian over Mark Antony and Cleopatra at the Battle of Actium in 31 BC, and the subsequent conquest of the Ptolemaic Kingdom in Egypt. In 27 BC, the Roman Senate granted Octavian overarching military power (imperium) and the new title of Augustus, marking his accession as the first Roman emperor. The vast Roman territories were organized into senatorial provinces, governed by proconsuls who were appointed by lot annually, and imperial provinces, which belonged to the emperor but were governed by legates."
17,"
How was the Roman Republic governed before it became an empire with emperors?
","
The Republic was governed by annually elected magistrates, particularly consuls, who worked together with the Senate to rule over a network of self-governed towns and provinces.
","Rome had begun expanding shortly after the founding of the Roman Republic in the 6th century BC, though not outside the Italian Peninsula until the 3rd century BC. Thus, it was an ""empire"" (a great power) long before it had an emperor. The Republic was not a nation-state in the modern sense, but a network of self-ruled towns (with varying degrees of independence from the Senate) and provinces administered by military commanders. It was governed by annually elected magistrates (Roman consuls above all) in conjunction with the Senate. The 1st century BC was a time of political and military upheaval, which ultimately led to rule by emperors. The consuls' military power rested in the Roman legal concept of imperium, meaning ""command"" (typically in a military sense). Occasionally, successful consuls or generals were given the honorary title imperator (commander); this is the origin of the word emperor, since this title was always bestowed to the early emperors.

Through his military reforms, which included consolidating or disbanding units of questionable loyalty, Augustus regularized the legion. A legion was organized into ten cohorts, each of which comprised six centuries, with a century further made up of ten squads (contubernia); the exact size of the Imperial legion, which was likely determined by logistics, has been estimated to range from 4,800 to 5,280. After Germanic tribes wiped out three legions in the Battle of the Teutoburg Forest in 9 AD, the number of legions was increased from 25 to around 30. The army had about 300,000 soldiers in the 1st century, and under 400,000 in the 2nd, ""significantly smaller"" than the collective armed forces of the conquered territories. No more than 2% of adult males living in the Empire served in the Imperial army. Augustus also created the Praetorian Guard: nine cohorts, ostensibly to maintain the public peace, which were garrisoned in Italy. Better paid than the legionaries, the Praetorians served

Following the Servile Wars of the Republic, legislation under Augustus and his successors shows a driving concern for controlling the threat of rebellions through limiting the size of work groups, and for hunting down fugitive slaves. Over time slaves gained increased legal protection, including the right to file complaints against their masters. A bill of sale might contain a clause stipulating that the slave could not be employed for prostitution, as prostitutes in ancient Rome were often slaves. The burgeoning trade in eunuchs in the late 1st century prompted legislation that prohibited the castration of a slave against his will ""for lust or gain""."
18,"
How did the Romans officially view Judaism compared to Christianity in ancient times?
","
Judaism was recognized as a legitimate religion (religio licita) by the Romans, while Christianity did not have this official status.
","=== Clothing ===

Textile and clothing production was a major source of employment. Both textiles and finished garments were traded and products were often named for peoples or towns, like a fashion ""label"". Better ready-to-wear was exported by local businessmen (negotiatores or mercatores). Finished garments might be retailed by their sales agents, by vestiarii (clothing dealers), or peddled by itinerant merchants. The fullers (fullones) and dye workers (coloratores) had their own guilds. Centonarii were guild workers who specialized in textile production and the recycling of old clothes into pieced goods.

as a form of Roman-provincial identity. The monotheistic rigour of Judaism posed difficulties for Roman policy that led at times to compromise and granting of special exemptions. Tertullian noted that Judaism, unlike Christianity, was considered a religio licita, ""legitimate religion"". The Jewish–Roman wars resulted from political as well as religious conflicts; the siege of Jerusalem in 70 AD led to the sacking of the Second Temple and the dispersal of Jewish political power (see Jewish diaspora)."
19,"
Why did the Romans believe they were successful as a civilization?
","
The Romans attributed their success to their religious devotion (pietas) and maintaining good relationships with their gods (pax deorum).
","Figurative mosaics share many themes with painting, and in some cases use almost identical compositions. Geometric patterns and mythological scenes occur throughout the Empire. In North Africa, a particularly rich source of mosaics, homeowners often chose scenes of life on their estates, hunting, agriculture, and local wildlife. Plentiful and major examples of Roman mosaics come also from present-day Turkey (particularly the (Antioch mosaics), Italy, southern France, Spain, and Portugal.

the first epoch of Roman imperial history. Although the republic stood in name, Augustus had all meaningful authority. During his 40-year rule, a new constitutional order emerged so that, upon his death, Tiberius would succeed him as the new de facto monarch.

The Romans thought of themselves as highly religious, and attributed their success to their collective piety (pietas) and good relations with the gods (pax deorum). The archaic religion believed to have come from the earliest kings of Rome was the foundation of the mos maiorum, ""the way of the ancestors"", central to Roman identity."
20,"
Under which ruler was the first global map of the known world publicly displayed in Rome?
","
The first public display of a global map in Rome occurred during Augustus's reign, coinciding with Strabo's Geography.
","The Romans had an extensive priestly archive, and inscriptions appear throughout the Empire in connection with votives dedicated by ordinary people, as well as ""magic spells"" (e.g. the Greek Magical Papyri).
Books were expensive, since each copy had to be written out on a papyrus roll (volumen) by scribes. The codex—pages bound to a spine—was still a novelty in the 1st century, but by the end of the 3rd century was replacing the volumen. Commercial book production was established by the late Republic, and by the 1st century certain neighbourhoods of Rome and Western provincial cities were known for their bookshops. The quality of editing varied wildly, and plagiarism or forgery were common, since there was no copyright law.

moved the imperial seat from Rome to Byzantium in 330, and renamed it Constantinople. The Migration Period, involving large invasions by Germanic peoples and by the Huns of Attila, led to the decline of the Western Roman Empire. With the fall of Ravenna to the Germanic Herulians and the deposition of Romulus Augustus in 476 by Odoacer, the Western Empire finally collapsed. The Byzantine (Eastern Roman) Empire survived for another millennium with Constantinople as its sole capital, until the city's fall in 1453.

Roman expansion was mostly accomplished under the Republic, though parts of northern Europe were conquered in the 1st century, when Roman control in Europe, Africa, and Asia was strengthened. Under Augustus, a ""global map of the known world"" was displayed for the first time in public at Rome, coinciding with the creation of the most comprehensive political geography that survives from antiquity, the Geography of Strabo. When Augustus died, the account of his achievements (Res Gestae) prominently featured the geographical cataloguing of the Empire. Geography alongside meticulous written records were central concerns of Roman Imperial administration."
21,"
How did the Roman Empire influence the United States' early development?
","
The U.S. founders used Roman architectural styles in Washington D.C. and drew inspiration from Roman republicanism, while viewing the imperial period as an example of tyranny.
","Although sometimes regarded as foreign, music and dance existed in Rome from earliest times. Music was customary at funerals, and the tibia, a woodwind instrument, was played at sacrifices. Song (carmen) was integral to almost every social occasion. Music was thought to reflect the orderliness of the cosmos. Various woodwinds and ""brass"" instruments were played, as were stringed instruments such as the cithara, and percussion. The cornu, a long tubular metal wind instrument, was used for military signals and on parade. These instruments spread throughout the provinces and are widely depicted in Roman art. The hydraulic pipe organ (hydraulis) was ""one of the most significant technical and musical achievements of antiquity"", and accompanied gladiator games and events in the amphitheatre. Although certain dances were seen at times as non-Roman or unmanly, dancing was embedded in religious rituals of archaic Rome. Ecstatic dancing was a feature of the mystery religions, particularly the

Like gladiators, entertainers were legally infames, technically free but little better than slaves. ""Stars"", however, could enjoy considerable wealth and celebrity, and mingled socially and often sexually with the elite. Performers supported each other by forming guilds, and several memorials for theatre members survive. Theatre and dance were often condemned by Christian polemicists in the later Empire.

The Roman Empire's control of the Italian Peninsula influenced Italian nationalism and the unification of Italy (Risorgimento) in 1861. 
In the United States, the founders were educated in the classical tradition, and used classical models for landmarks in Washington, D.C.. The founders saw Athenian democracy and Roman republicanism as models for the mixed constitution, but regarded the emperor as a figure of tyranny."
22,"
What was the typical structure of a Roman upper-class dinner and where was it served?
","
Upper-class Romans ate their evening meal (cena) in a decorated triclinium, starting with appetizers, followed by main courses of meat and vegetables, and ending with fruit and wine for dessert.
","The Roman Empire ruled the Mediterranean and much of Europe, Western Asia and North Africa. The Romans conquered most of this during the Republic, and it was ruled by emperors following Octavian's  assumption of effective sole rule in 27 BC. The western empire collapsed in 476 AD, but the eastern empire lasted until the fall of Constantinople in 1453.

Roman literature focuses on the dining habits of the upper classes, for whom the evening meal (cena) had important social functions. Guests were entertained in a finely decorated dining room (triclinium) furnished with couches. By the late Republic, women dined, reclined, and drank wine along with men. The poet Martial describes a dinner, beginning with the gustatio (""tasting"" or ""appetizer"") salad. The main course was kid, beans, greens, a chicken, and leftover ham, followed by a dessert of fruit and wine. Roman ""foodies"" indulged in wild game, fowl such as peacock and flamingo, large fish (mullet was especially prized), and shellfish. Luxury ingredients were imported from the far reaches of empire. A book-length collection of Roman recipes is attributed to Apicius, a name for several figures in antiquity that became synonymous with ""gourmet"".

=== Education ==="
23,"
What rights and freedoms did freeborn Roman women have despite their political limitations?
","
Roman women could own property, conduct business, maintain their family names, and control enough wealth to be significant public benefactors.
","=== Pax Romana ===

The 200 years that began with Augustus's rule is traditionally regarded as the Pax Romana (""Roman Peace""). The cohesion of the empire was furthered by a degree of social stability and economic prosperity that Rome had never before experienced. Uprisings in the provinces were infrequent and put down ""mercilessly and swiftly"". The success of Augustus in establishing principles of dynastic succession was limited by his outliving a number of talented potential heirs. The Julio-Claudian dynasty lasted for four more emperors—Tiberius, Caligula, Claudius, and Nero—before it yielded in 69 AD to the strife-torn Year of the Four Emperors, from which Vespasian emerged as the victor. Vespasian became the founder of the brief Flavian dynasty, followed by the Nerva–Antonine dynasty which produced the ""Five Good Emperors"": Nerva, Trajan, Hadrian, Antoninus Pius, and Marcus Aurelius.


=== Transition from classical to late antiquity ===

certain dances were seen at times as non-Roman or unmanly, dancing was embedded in religious rituals of archaic Rome. Ecstatic dancing was a feature of the mystery religions, particularly the cults of Cybele and Isis. In the secular realm, dancing girls from Syria and Cadiz were extremely popular.

Freeborn Roman women were considered citizens, but did not vote, hold political office, or serve in the military. A mother's citizen status determined that of her children, as indicated by the phrase ex duobus civibus Romanis natos (""children born of two Roman citizens""). A Roman woman kept her own family name (nomen) for life. Children most often took the father's name, with some exceptions. Women could own property, enter contracts, and engage in business. Inscriptions throughout the Empire honour women as benefactors in funding public works, an indication they could hold considerable fortunes."
24,"
How did Roman fashion change during the later Empire period?
","
Roman clothing became more militarized and ornate, with decorated patterns replacing the traditional toga in favor of the pallium and military-style belts becoming common even among bureaucrats.
","=== Education ===

Roman clothing styles changed over time. In the Dominate, clothing worn by both soldiers and bureaucrats became highly decorated with geometrical patterns, stylized plant motifs, and in more elaborate examples, human or animal figures. Courtiers of the later Empire wore elaborate silk robes. The militarization of Roman society, and the waning of urban life, affected fashion: heavy military-style belts were worn by bureaucrats as well as soldiers, and the toga was abandoned, replaced by the pallium as a garment embodying social unity.

the Empire permitted the exchange of large sums without physically transferring coins, in part because of the risks of moving large amounts of cash. Only one serious credit shortage is known to have occurred in the early Empire, in 33 AD; generally, available capital exceeded the amount needed by borrowers. The central government itself did not borrow money, and without public debt had to fund deficits from cash reserves."
25,"
What was the basic unit of currency in the early Roman Empire?
","
The sestertius (HS) served as the fundamental unit of monetary value until the 4th century, with four sesterces equaling one silver denarius.
","the first epoch of Roman imperial history. Although the republic stood in name, Augustus had all meaningful authority. During his 40-year rule, a new constitutional order emerged so that, upon his death, Tiberius would succeed him as the new de facto monarch.

== Religion ==

The early Empire was monetized to a near-universal extent, using money as a way to express prices and debts. The sestertius (English ""sesterces"", symbolized as HS) was the basic unit of reckoning value into the 4th century, though the silver denarius, worth four sesterces, was also used beginning in the Severan dynasty. The smallest coin commonly circulated was the bronze as, one-tenth denarius. Bullion and ingots seem not to have counted as pecunia (""money"") and were used only on the frontiers. Romans in the first and second centuries counted coins, rather than weighing them—an indication that the coin was valued on its face. This tendency towards fiat money led to the debasement of Roman coinage in the later Empire. The standardization of money throughout the Empire promoted trade and market integration. The high amount of metal coinage in circulation increased the money supply for trading or saving."
26,"
What was the significance of public baths in Roman society?
","
Roman public baths were essential social and cultural centers that offered multiple amenities including heated communal bathing areas, exercise facilities, and served as daily meeting places for socializing.
","In the city of Rome, most people lived in multistory apartment buildings (insulae) that were often squalid firetraps. Public facilities—such as baths (thermae), toilets with running water (latrinae), basins or elaborate fountains (nymphea) delivering fresh water, and large-scale entertainments such as chariot races and gladiator combat—were aimed primarily at the common people. 
The public baths served hygienic, social and cultural functions. Bathing was the focus of daily socializing. Roman baths were distinguished by a series of rooms that offered communal bathing in three temperatures, with amenities that might include an exercise room, sauna, exfoliation spa, ball court, or outdoor swimming pool. Baths had hypocaust heating: the floors were suspended over hot-air channels. Public baths were part of urban culture throughout the provinces, but in the late 4th century, individual tubs began to replace communal bathing. Christians were advised to go to the baths only for hygiene.

Freeborn Roman women were considered citizens, but did not vote, hold political office, or serve in the military. A mother's citizen status determined that of her children, as indicated by the phrase ex duobus civibus Romanis natos (""children born of two Roman citizens""). A Roman woman kept her own family name (nomen) for life. Children most often took the father's name, with some exceptions. Women could own property, enter contracts, and engage in business. Inscriptions throughout the Empire honour women as benefactors in funding public works, an indication they could hold considerable fortunes.

Land transport utilized the advanced system of Roman roads, called ""viae"". These roads were primarily built for military purposes, but also served commercial ends. The in-kind taxes paid by communities included the provision of personnel, animals, or vehicles for the cursus publicus, the state mail and transport service established by Augustus. Relay stations were located along the roads every seven to twelve Roman miles, and tended to grow into villages or trading posts. A mansio (plural mansiones) was a privately run service station franchised by the imperial bureaucracy for the cursus publicus. The distance between mansiones was determined by how far a wagon could travel in a day. Carts were usually pulled by mules, travelling about 4 mph."
27,"
What was the purpose of separating fiscal responsibility from justice and administration during the Imperial era?
","
The separation was implemented to prevent provincial governors and tax collectors from exploiting local populations for their personal benefit.
","In the West, law had been administered on a highly localized or tribal basis, and private property rights may have been a novelty of the Roman era, particularly among Celts. Roman law facilitated the acquisition of wealth by a pro-Roman elite. The extension of universal citizenship to all free inhabitants of the Empire in 212 required the uniform application of Roman law, replacing local law codes that had applied to non-citizens. Diocletian's efforts to stabilize the Empire after the Crisis of the Third Century included two major compilations of law in four years, the Codex Gregorianus and the Codex Hermogenianus, to guide provincial administrators in setting consistent legal standards.
The pervasiveness of Roman law throughout Western Europe enormously influenced the Western legal tradition, reflected by continued use of Latin legal terminology in modern law.

Roman expansion was mostly accomplished under the Republic, though parts of northern Europe were conquered in the 1st century, when Roman control in Europe, Africa, and Asia was strengthened. Under Augustus, a ""global map of the known world"" was displayed for the first time in public at Rome, coinciding with the creation of the most comprehensive political geography that survives from antiquity, the Geography of Strabo. When Augustus died, the account of his achievements (Res Gestae) prominently featured the geographical cataloguing of the Empire. Geography alongside meticulous written records were central concerns of Roman Imperial administration.

Other officials were appointed as supervisors of government finances. Separating fiscal responsibility from justice and administration was a reform of the Imperial era, to avoid provincial governors and tax farmers exploiting local populations for personal gain. Equestrian procurators, whose authority was originally ""extra-judicial and extra-constitutional"", managed both state-owned property and the personal property of the emperor (res privata). Because Roman government officials were few, a provincial who needed help with a legal dispute or criminal case might seek out any Roman perceived to have some official capacity.
In the High Empire, Italy was legally distinguished from the provinces, and along with some favored provincial communities, enjoyed immunity from the property tax and poll tax. However, under the Emperor Diocletian, Italy lost these privileges and was subdivided into provinces."
28,"
What were Augustus's main contributions to the development of Rome as a city?
","
Augustus transformed Rome through a major building program, established local police and firefighting services, and developed the Campus Martius into an attractive public space with monuments and gardens.
","Traditional Roman education was moral and practical. Stories were meant to instil Roman values (mores maiorum). Parents were expected to act as role models, and working parents passed their skills to their children, who might also enter apprenticeships. Young children were attended by a pedagogue, usually a Greek slave or former slave, who kept the child safe, taught self-discipline and public behaviour, attended class and helped with tutoring.

=== City and country ===
The city was viewed as fostering civilization by being ""properly designed, ordered, and adorned"". Augustus undertook a vast building programme in Rome, supported public displays of art that expressed imperial ideology, and reorganized the city into neighbourhoods (vici) administered at the local level with police and firefighting services. A focus of Augustan monumental architecture was the Campus Martius, an open area outside the city centre: the Altar of Augustan Peace (Ara Pacis Augustae) was located there, as was an obelisk imported from Egypt that formed the pointer (gnomon) of a horologium. With its public gardens, the Campus was among the most attractive places in Rome to visit.

Formal education was available only to families who could pay for it; lack of state support contributed to low literacy. Primary education in reading, writing, and arithmetic might take place at home if parents hired or bought a teacher. Other children attended ""public"" schools organized by a schoolmaster (ludimagister) paid by parents. Vernae (homeborn slave children) might share in-home or public schooling. Boys and girls received primary education generally from ages 7 to 12, but classes were not segregated by grade or age. Most schools employed corporal punishment. For the socially ambitious, education in Greek as well as Latin was necessary. Schools became more numerous during the Empire, increasing educational opportunities."
29,"
How did the Roman Empire handle legal conflicts between Roman and provincial laws?
","
When provincial laws conflicted with Roman law, cases could be appealed to Roman courts with the emperor having the final authority on decisions.
","== Society ==

=== Recreation ===

Roman courts held original jurisdiction over cases involving Roman citizens throughout the empire, but there were too few judicial functionaries to impose Roman law uniformly in the provinces. Most parts of the Eastern Empire already had well-established law codes and juridical procedures. Generally, it was Roman policy to respect the mos regionis (""regional tradition"" or ""law of the land"") and to regard local laws as a source of legal precedent and social stability. The compatibility of Roman and local law was thought to reflect an underlying ius gentium, the ""law of nations"" or international law regarded as common and customary. If provincial law conflicted with Roman law or custom, Roman courts heard appeals, and the emperor held final decision-making authority."
30,"
What significant change did Augustus establish during his rule?
","
Augustus created a new constitutional system that enabled monarchical succession, allowing Tiberius to become the next ruler after his death.
","Augustus' programme of urban renewal, and the growth of Rome's population to as many as one million, was accompanied by nostalgia for rural life. Poetry idealized the lives of farmers and shepherds. Interior decorating often featured painted gardens, fountains, landscapes, vegetative ornament, and animals, rendered accurately enough to be identified by species. On a more practical level, the central government took an active interest in supporting agriculture. Producing food was the priority of land use. Larger farms (latifundia) achieved an economy of scale that sustained urban life. Small farmers benefited from the development of local markets in towns and trade centres. Agricultural techniques such as crop rotation and selective breeding were disseminated throughout the Empire, and new crops were introduced from one province to another.

the first epoch of Roman imperial history. Although the republic stood in name, Augustus had all meaningful authority. During his 40-year rule, a new constitutional order emerged so that, upon his death, Tiberius would succeed him as the new de facto monarch.

The network of cities (coloniae, municipia, civitates or in Greek terms poleis) was a primary cohesive force during the Pax Romana. Romans of the 1st and 2nd centuries were encouraged to ""inculcate the habits of peacetime"". As the classicist Clifford Ando noted:

Most of the cultural appurtenances popularly associated with imperial culture—public cult and its games and civic banquets, competitions for artists, speakers, and athletes, as well as the funding of the great majority of public buildings and public display of art—were financed by private individuals, whose expenditures in this regard helped to justify their economic power and legal and provincial privileges."
