question,context,answer
extract entities from this contract excerpt,"The Indemnification Agreement signed on November 8, 2024, provides that Parent Company Holdings Inc. will indemnify its subsidiary Operations LLC against all liabilities arising from pre-acquisition activities. The indemnification period extends for 7 years from the date of execution, expiring November 7, 2031. Claims must be asserted in writing within 30 days of discovery. Insurance Broker Services Inc. has arranged directors and officers liability coverage with $10,000,000 limits.","{'parties': [{'name': 'Parent Company Holdings Inc.', 'role': 'Indemnitor'}, {'name': 'Operations LLC', 'role': 'Indemnitee'}, {'name': 'Insurance Broker Services Inc.', 'role': 'Insurance Broker'}], 'dates': [{'type': 'indemnification_agreement_date', 'date': 'November 8, 2024'}, {'type': 'indemnification_expiration_date', 'date': 'November 7, 2031'}]}"
extract entities from this contract excerpt,"The Employment Agreement dated March 7, 2024, between Global Manufacturing Corp., a Delaware corporation, and Executive Director Lisa Rodriguez establishes the terms of employment as Chief Operations Officer. The employment term commences April 1, 2024, and continues indefinitely subject to termination provisions. The agreement includes a non-compete period of 24 months following termination, expiring no later than April 1, 2027. Compensation includes an annual base salary of $350,000 and eligibility for performance bonuses. Executive Benefits Solutions Inc. serves as the benefits administrator.","{'parties': [{'name': 'Global Manufacturing Corp.', 'role': 'Employer', 'entity_type': 'Delaware corporation'}, {'name': 'Lisa Rodriguez', 'role': 'Employee', 'position': 'Chief Operations Officer'}, {'name': 'Executive Benefits Solutions Inc.', 'role': 'Benefits Administrator'}], 'dates': [{'type': 'employment_agreement_date', 'date': 'March 7, 2024'}, {'type': 'employment_commencement_date', 'date': 'April 1, 2024'}, {'type': 'non_compete_expiration_date', 'date': 'April 1, 2027'}]}"
extract entities from this contract excerpt,"The Partnership Agreement executed on May 22, 2024, forms Alliance Ventures Partnership between founding partners Thomas Wright and Catherine Bell. The partnership term is 20 years, expiring May 21, 2044, with automatic renewal for successive 10-year terms unless terminated. Initial capital contributions totaling $5,000,000 are due by June 30, 2024. Accounting firm Peterson & Associates LLP will serve as the partnership's independent auditor. Managing partner authority rotates annually, with Wright serving as initial managing partner.","{'parties': [{'name': 'Thomas Wright', 'role': 'Founding Partner/Initial Managing Partner'}, {'name': 'Catherine Bell', 'role': 'Founding Partner'}, {'name': 'Peterson & Associates LLP', 'role': 'Independent Auditor'}], 'dates': [{'type': 'partnership_agreement_date', 'date': 'May 22, 2024'}, {'type': 'partnership_expiration_date', 'date': 'May 21, 2044'}, {'type': 'capital_contribution_deadline', 'date': 'June 30, 2024'}]}"
extract entities from this contract excerpt,"The Joint Venture Agreement dated October 30, 2024, establishes MedTech Innovation JV LLC between Pharmaceutical Corp. and Research Institute Inc. The joint venture term is 10 years, expiring October 29, 2034, with specific milestones for drug development phases. Phase I clinical trials must commence by January 15, 2026, with Phase II trials beginning no later than July 15, 2027. Regulatory Consulting Services LLC serves as the FDA liaison consultant. Dr. Jennifer Park will serve as the joint venture's Chief Scientific Officer.","{'parties': [{'name': 'Pharmaceutical Corp.', 'role': 'Joint Venture Partner'}, {'name': 'Research Institute Inc.', 'role': 'Joint Venture Partner'}, {'name': 'Regulatory Consulting Services LLC', 'role': 'FDA Liaison Consultant'}, {'name': 'Dr. Jennifer Park', 'role': 'Chief Scientific Officer'}], 'dates': [{'type': 'joint_venture_agreement_date', 'date': 'October 30, 2024'}, {'type': 'joint_venture_expiration_date', 'date': 'October 29, 2034'}, {'type': 'phase_1_trial_deadline', 'date': 'January 15, 2026'}, {'type': 'phase_2_trial_deadline', 'date': 'July 15, 2027'}]}"
extract entities from this contract excerpt,"The Security Agreement executed on January 25, 2024, grants First National Bank a security interest in all inventory and accounts receivable of Retail Business LLC to secure a $2,500,000 line of credit. The security interest remains in effect until final payment of all obligations, with the credit line maturing January 24, 2027. Monthly collateral reports are due by the 10th of each month. Appraisal Services Inc. will conduct quarterly inventory valuations. Chief Financial Officer Rebecca Martinez has certified the accuracy of initial collateral schedules.","{'parties': [{'name': 'First National Bank', 'role': 'Secured Party'}, {'name': 'Retail Business LLC', 'role': 'Debtor'}, {'name': 'Appraisal Services Inc.', 'role': 'Collateral Appraiser'}, {'name': 'Rebecca Martinez', 'role': 'Chief Financial Officer'}], 'dates': [{'type': 'security_agreement_date', 'date': 'January 25, 2024'}, {'type': 'credit_line_maturity_date', 'date': 'January 24, 2027'}]}"
extract entities from this contract excerpt,"The Asset Purchase Agreement dated April 3, 2024, provides for the sale of manufacturing equipment and related assets from Industrial Seller Corp. to Equipment Buyer LLC, a Michigan limited liability company. The transaction closing is scheduled for May 30, 2024, with a purchase price of $12,750,000. Due diligence inspection period extends through April 20, 2024. Title Company of Michigan serves as the closing agent, while Industrial Appraisers Inc. has provided equipment valuations. Environmental consultant GreenTech Environmental LLC has completed Phase I environmental assessments.","{'parties': [{'name': 'Industrial Seller Corp.', 'role': 'Seller'}, {'name': 'Equipment Buyer LLC', 'role': 'Buyer', 'entity_type': 'Michigan limited liability company'}, {'name': 'Title Company of Michigan', 'role': 'Closing Agent'}, {'name': 'Industrial Appraisers Inc.', 'role': 'Equipment Appraiser'}, {'name': 'GreenTech Environmental LLC', 'role': 'Environmental Consultant'}], 'dates': [{'type': 'asset_purchase_agreement_date', 'date': 'April 3, 2024'}, {'type': 'due_diligence_deadline', 'date': 'April 20, 2024'}, {'type': 'closing_date', 'date': 'May 30, 2024'}]}"
extract entities from this contract excerpt,"The Trust Agreement established on November 15, 2024, creates the Family Wealth Trust with Heritage Trust Company as trustee and William Anderson as settlor. The trust term is 25 years, terminating November 14, 2049, unless extended by beneficiary consent. Initial trust funding of $10,000,000 was completed upon execution. Annual distributions to beneficiaries begin January 1, 2025, with mandatory distributions every December 31st thereafter. Trust administration services are provided by Professional Fiduciary Services Inc. Investment advisor Charles Morgan will manage the trust portfolio.","{'parties': [{'name': 'Heritage Trust Company', 'role': 'Trustee'}, {'name': 'William Anderson', 'role': 'Settlor'}, {'name': 'Professional Fiduciary Services Inc.', 'role': 'Trust Administrator'}, {'name': 'Charles Morgan', 'role': 'Investment Advisor'}], 'dates': [{'type': 'trust_establishment_date', 'date': 'November 15, 2024'}, {'type': 'trust_termination_date', 'date': 'November 14, 2049'}, {'type': 'first_distribution_date', 'date': 'January 1, 2025'}, {'type': 'annual_distribution_date', 'date': 'December 31st', 'recurring': True}]}"
extract entities from this contract excerpt,"The Option Agreement dated June 13, 2024, grants Development Partners LLC the exclusive option to purchase 500 acres of commercial real estate from Landowner Holdings Inc. for $25,000,000. The option period is 24 months, expiring June 12, 2026, with a one-time extension available for an additional 12 months. Option consideration of $1,000,000 was paid upon execution and is non-refundable but applicable to the purchase price. Environmental assessments must be completed by September 13, 2024. Real Estate Attorney Susan Walsh represents the landowner in this transaction.","{'parties': [{'name': 'Development Partners LLC', 'role': 'Option Holder'}, {'name': 'Landowner Holdings Inc.', 'role': 'Property Owner'}, {'name': 'Susan Walsh', 'role': 'Real Estate Attorney', 'client': 'Landowner Holdings Inc.'}], 'dates': [{'type': 'option_agreement_date', 'date': 'June 13, 2024'}, {'type': 'option_expiration_date', 'date': 'June 12, 2026'}, {'type': 'environmental_assessment_deadline', 'date': 'September 13, 2024'}]}"
extract entities from this contract excerpt,"The Standby Letter of Credit issued on August 5, 2024, by Commerce Bank in favor of International Supplier SA guarantees payment of up to €2,500,000 for goods delivered under the underlying sales contract. The letter of credit expires on August 4, 2025, and is automatically renewable for successive one-year terms unless terminated with 60 days notice. Presentation of compliant documents must occur by 5:00 PM local time on the expiration date. Documentary requirements include commercial invoices, bills of lading, and inspection certificates. Trade Finance Services Corp. serves as the confirming bank.","{'parties': [{'name': 'Commerce Bank', 'role': 'Issuing Bank'}, {'name': 'International Supplier SA', 'role': 'Beneficiary'}, {'name': 'Trade Finance Services Corp.', 'role': 'Confirming Bank'}], 'dates': [{'type': 'letter_of_credit_issue_date', 'date': 'August 5, 2024'}, {'type': 'letter_of_credit_expiration_date', 'date': 'August 4, 2025'}]}"
extract entities from this contract excerpt,"The Licensing and Royalty Agreement signed on December 3, 2024, grants Entertainment Media LLC worldwide rights to use proprietary music compositions owned by Songwriter Productions Inc. The licensing term is perpetual, subject to termination for material breach with 90 days cure period. Royalty payments of 8% of net revenues are due quarterly, with the first payment due March 31, 2025. Annual minimum royalty guarantees of $750,000 begin in the second contract year. Music Rights Society serves as the collection agency for performance royalties. A&R Director Michael Torres will oversee creative aspects of the licensing arrangement.","{'parties': [{'name': 'Entertainment Media LLC', 'role': 'Licensee'}, {'name': 'Songwriter Productions Inc.', 'role': 'Licensor'}, {'name': 'Music Rights Society', 'role': 'Collection Agency'}, {'name': 'Michael Torres', 'role': 'A&R Director'}], 'dates': [{'type': 'licensing_agreement_date', 'date': 'December 3, 2024'}, {'type': 'first_royalty_payment_date', 'date': 'March 31, 2025'}]}"
extract entities from this contract excerpt,"The Guarantee Agreement executed on January 30, 2024, provides that Parent Corporation will unconditionally guarantee all obligations of its subsidiary Operating Company LLC under the $15,000,000 term loan facility with Regional Bank. The guarantee remains in effect until the earlier of loan maturity on January 29, 2029, or full repayment of all obligations. Guarantee coverage includes principal, interest, fees, and enforcement costs. Financial reporting requirements include quarterly consolidated financial statements. Corporate Treasurer Robert Kim has certified the guarantee authorization by the board of directors.","{'parties': [{'name': 'Parent Corporation', 'role': 'Guarantor'}, {'name': 'Operating Company LLC', 'role': 'Primary Borrower'}, {'name': 'Regional Bank', 'role': 'Lender'}, {'name': 'Robert Kim', 'role': 'Corporate Treasurer'}], 'dates': [{'type': 'guarantee_agreement_date', 'date': 'January 30, 2024'}, {'type': 'loan_maturity_date', 'date': 'January 29, 2029'}]}"
extract entities from this contract excerpt,"The Transition Services Agreement dated September 25, 2024, requires Seller Corporation to provide operational support services to Buyer Holdings Inc. following the asset sale closing on October 15, 2024. Service provision period is 12 months, terminating October 14, 2025, with early termination available upon 90 days notice. Monthly service fees of $200,000 are payable in advance. Services include IT support, payroll processing, and customer service functions. Third-party vendor Transition Management LLC will oversee service delivery and monitor performance metrics. Key personnel including Operations Manager Sandra Garcia will remain available during the transition.","{'parties': [{'name': 'Seller Corporation', 'role': 'Service Provider'}, {'name': 'Buyer Holdings Inc.', 'role': 'Service Recipient'}, {'name': 'Transition Management LLC', 'role': 'Transition Oversight Vendor'}, {'name': 'Sandra Garcia', 'role': 'Operations Manager'}], 'dates': [{'type': 'transition_services_agreement_date', 'date': 'September 25, 2024'}, {'type': 'asset_sale_closing_date', 'date': 'October 15, 2024'}, {'type': 'service_termination_date', 'date': 'October 14, 2025'}]}"
extract entities from this contract excerpt,"The Insurance Agreement executed on January 12, 2025, between Coastal Insurance Corp., a California corporation, and Resort Development LLC provides commercial property coverage for beachfront hotel properties. The policy term commences February 1, 2025, and expires January 31, 2026, with annual premium of $485,000. Coverage includes business interruption and natural disaster protection with $50,000,000 aggregate limits. Risk Management Consultants Inc. conducted the initial property assessment and will perform annual risk evaluations. Insurance broker Amanda Sterling negotiated the policy terms on behalf of the insured.","{'parties': [{'name': 'Coastal Insurance Corp.', 'role': 'Insurer', 'entity_type': 'California corporation'}, {'name': 'Resort Development LLC', 'role': 'Insured'}, {'name': 'Risk Management Consultants Inc.', 'role': 'Risk Assessment Provider'}, {'name': 'Amanda Sterling', 'role': 'Insurance Broker'}], 'dates': [{'type': 'insurance_agreement_date', 'date': 'January 12, 2025'}, {'type': 'policy_effective_date', 'date': 'February 1, 2025'}, {'type': 'policy_expiration_date', 'date': 'January 31, 2026'}]}"
extract entities from this contract excerpt,"The Trademark License Agreement executed on April 8, 2025, grants Regional Retailer Inc. the right to use the 'Premium Brand' trademark in connection with sales of consumer electronics within the southeastern United States. The license term is 5 years, commencing May 1, 2025, and ending April 30, 2030. Quarterly royalty payments of 3% of net sales are due within 30 days after each quarter end. Trademark quality standards must be maintained according to brand guidelines. Intellectual Property Law Firm represents the trademark owner. Brand Manager Kevin Liu will monitor compliance with licensing standards.","{'parties': [{'name': 'Regional Retailer Inc.', 'role': 'Trademark Licensee'}, {'name': 'Intellectual Property Law Firm', 'role': 'Legal Counsel'}, {'name': 'Kevin Liu', 'role': 'Brand Manager'}], 'dates': [{'type': 'trademark_license_date', 'date': 'April 8, 2025'}, {'type': 'license_commencement_date', 'date': 'May 1, 2025'}, {'type': 'license_expiration_date', 'date': 'April 30, 2030'}]}"
extract entities from this contract excerpt,"The Media Rights Agreement dated August 16, 2025, grants Broadcasting Network Inc. exclusive television and streaming rights to sporting events produced by Sports Entertainment LLC, a Texas limited liability company. The rights period extends for 10 years, from September 1, 2025, through August 31, 2035. Rights fees of $75,000,000 annually are payable in quarterly installments. Live broadcast requirements include minimum 50 events per season with replay rights for 24 months. Media production services will be provided by Sports Media Productions Corp. Sports Agent Alliance represents athletes for individual appearance agreements.","{'parties': [{'name': 'Broadcasting Network Inc.', 'role': 'Media Rights Holder'}, {'name': 'Sports Entertainment LLC', 'role': 'Content Producer', 'entity_type': 'Texas limited liability company'}, {'name': 'Sports Media Productions Corp.', 'role': 'Media Production Provider'}, {'name': 'Sports Agent Alliance', 'role': 'Athlete Representative'}], 'dates': [{'type': 'media_rights_agreement_date', 'date': 'August 16, 2025'}, {'type': 'rights_period_start_date', 'date': 'September 1, 2025'}, {'type': 'rights_period_end_date', 'date': 'August 31, 2035'}]}"
extract entities from this contract excerpt,"The Clinical Trial Agreement executed on February 16, 2026, between Medical Research Institute and Biotechnology Corp., a Massachusetts corporation, establishes terms for conducting Phase II clinical trials of an experimental cancer therapy. The trial period is 36 months, commencing March 1, 2026, and ending February 28, 2029. Patient enrollment must begin by June 1, 2026, with primary endpoint data collection completed by December 31, 2028. Research funding of $8,750,000 will be provided in quarterly installments. Principal Investigator Dr. Michael Foster will lead the clinical team. Regulatory Affairs Consulting LLC will handle FDA communications and compliance. Patient safety monitoring will be conducted by Independent Safety Board.","{'parties': [{'name': 'Medical Research Institute', 'role': 'Clinical Research Organization'}, {'name': 'Biotechnology Corp.', 'role': 'Sponsor', 'entity_type': 'Massachusetts corporation'}, {'name': 'Dr. Michael Foster', 'role': 'Principal Investigator'}, {'name': 'Regulatory Affairs Consulting LLC', 'role': 'FDA Liaison'}, {'name': 'Independent Safety Board', 'role': 'Safety Monitor'}], 'dates': [{'type': 'clinical_trial_agreement_date', 'date': 'February 16, 2026'}, {'type': 'trial_commencement_date', 'date': 'March 1, 2026'}, {'type': 'trial_completion_date', 'date': 'February 28, 2029'}, {'type': 'enrollment_start_deadline', 'date': 'June 1, 2026'}, {'type': 'data_collection_deadline', 'date': 'December 31, 2028'}]}"
extract entities from this contract excerpt,"The Telecommunications Service Agreement executed on May 19, 2026, between Network Solutions Corp., an Ohio corporation, and Enterprise Communications LLC provides managed network services for multiple office locations. The service term is 7 years, commencing June 1, 2026, and ending May 31, 2033. Monthly service fees total $185,000 for dedicated fiber connections, cloud PBX services, and 24/7 network monitoring. Service level agreements guarantee 99.95% network uptime with credits for outages. Network equipment will be provided and maintained by Equipment Vendor Inc. Technical support will be managed by Network Operations Manager Brian Chen. Annual service reviews are scheduled every June 1st to assess performance and pricing.","{'parties': [{'name': 'Network Solutions Corp.', 'role': 'Telecommunications Provider', 'entity_type': 'Ohio corporation'}, {'name': 'Enterprise Communications LLC', 'role': 'Customer'}, {'name': 'Equipment Vendor Inc.', 'role': 'Network Equipment Provider'}, {'name': 'Brian Chen', 'role': 'Network Operations Manager'}], 'dates': [{'type': 'telecommunications_agreement_date', 'date': 'May 19, 2026'}, {'type': 'service_commencement_date', 'date': 'June 1, 2026'}, {'type': 'service_expiration_date', 'date': 'May 31, 2033'}, {'type': 'annual_service_review_date', 'date': 'June 1st', 'recurring': True}]}"
extract entities from this contract excerpt,"The Publishing Agreement dated June 14, 2026, between Literary Publications Inc. and Author Sarah Mitchell establishes terms for publication of a business management book series. The publication period covers 5 years, effective July 1, 2026, through June 30, 2031, with options for three additional books. Advance payments total $150,000 payable upon execution, with royalty rates of 12% on net sales after advance recoupment. Marketing and promotion will be managed by Publishing Services LLC with minimum promotional budget of $75,000 per title. Literary Agent Rebecca Adams negotiated the contract terms. Manuscript delivery dates are scheduled for September 30, 2026, March 31, 2027, and September 30, 2027.","{'parties': [{'name': 'Literary Publications Inc.', 'role': 'Publisher'}, {'name': 'Sarah Mitchell', 'role': 'Author'}, {'name': 'Publishing Services LLC', 'role': 'Marketing Provider'}, {'name': 'Rebecca Adams', 'role': 'Literary Agent'}], 'dates': [{'type': 'publishing_agreement_date', 'date': 'June 14, 2026'}, {'type': 'publication_period_start_date', 'date': 'July 1, 2026'}, {'type': 'publication_period_end_date', 'date': 'June 30, 2031'}, {'type': 'manuscript_delivery_date', 'date': 'September 30, 2026'}, {'type': 'manuscript_delivery_date', 'date': 'March 31, 2027'}, {'type': 'manuscript_delivery_date', 'date': 'September 30, 2027'}]}"
extract entities from this contract excerpt,"The Arbitration Agreement executed on January 14, 2027, between Commercial Dispute LLC and Business Rival Corp., a Connecticut corporation, establishes binding arbitration procedures for all contract disputes. The arbitration proceedings will be administered by International Arbitration Services Inc. under their commercial rules. The arbitration panel consists of three arbitrators, with hearings scheduled to commence March 15, 2027. Final awards must be rendered within 180 days of hearing commencement, no later than September 11, 2027. Arbitrator selection was facilitated by Neutral Selection Services LLC. Attorney Michael Roberts will serve as lead counsel for Commercial Dispute LLC.","{'parties': [{'name': 'Commercial Dispute LLC', 'role': 'Claimant'}, {'name': 'Business Rival Corp.', 'role': 'Respondent', 'entity_type': 'Connecticut corporation'}, {'name': 'International Arbitration Services Inc.', 'role': 'Arbitration Administrator'}, {'name': 'Neutral Selection Services LLC', 'role': 'Arbitrator Selection Facilitator'}, {'name': 'Michael Roberts', 'role': 'Lead Counsel', 'client': 'Commercial Dispute LLC'}], 'dates': [{'type': 'arbitration_agreement_date', 'date': 'January 14, 2027'}, {'type': 'hearing_commencement_date', 'date': 'March 15, 2027'}, {'type': 'award_deadline', 'date': 'September 11, 2027'}]}"
extract entities from this contract excerpt,"The Bankruptcy Settlement Agreement dated February 9, 2027, resolves claims between Debtor Industries Inc. and Creditor Consortium LLC in the Chapter 11 reorganization proceedings. The settlement amount is $12,500,000 payable in three annual installments beginning April 1, 2027, and concluding April 1, 2029. Court approval is required by March 30, 2027, with the settlement becoming effective upon confirmation of the reorganization plan. Bankruptcy Trustee Services Corp. will oversee compliance with payment terms. Restructuring Attorney Patricia White represents the debtor in these proceedings. Creditor rights will be administered by Claims Administration Inc.","{'parties': [{'name': 'Debtor Industries Inc.', 'role': 'Debtor'}, {'name': 'Creditor Consortium LLC', 'role': 'Creditor'}, {'name': 'Bankruptcy Trustee Services Corp.', 'role': 'Trustee'}, {'name': 'Patricia White', 'role': 'Restructuring Attorney', 'client': 'Debtor Industries Inc.'}, {'name': 'Claims Administration Inc.', 'role': 'Creditor Rights Administrator'}], 'dates': [{'type': 'settlement_agreement_date', 'date': 'February 9, 2027'}, {'type': 'first_payment_date', 'date': 'April 1, 2027'}, {'type': 'final_payment_date', 'date': 'April 1, 2029'}, {'type': 'court_approval_deadline', 'date': 'March 30, 2027'}]}"
