question,answer
"Buddhist Logic and Epistemology About the Author Bimal Krishna Matilal (1935-1991) was an eminent Indian philosopher. The upadhi (degree) of Tarkatirtha (master of Logic) was awarded to him in 1962. Matilal secured a Fulbright Fellowship and completed his PhD under Ingalls on the Navya Nyaya doctrine of negation, between 1962 and 1965. During this period he also studied with W.V.O. Quine. Subsequently, he was professor of Sanskrit at the University of Toronto, and in 1977 he was elected as Spalding Professor at Oxford University, succeeding Sarvepalli Radhakrishnan and R.C. Zaehner.",books
"Marketing Analytics: Data-Driven Techniques with Microsoft Excel About the Author Wayne L. Winston is the John and Esther Reese chaired Professor of Decision Sciences at the Kelley School of Business at Indiana University. He has also taught data modeling at major organizations such as 3M, Cisco, US Army, Eli Lilly, Deloitte Consulting and Microsoft.",books
"Medela Women's Handsfree Bustier Pumping Bra (White, Medium) Handsfree pumping, now made easy. An easy expression is the newest addition to Medela's line of breast pump accessories. Authentic Medela spare parts are engineered, tested and approved to work specifically with your Medela breast pump. Non-Medela spare parts can vary significantly in design, materials, and workmanship. All of which may affect the performance of your Medela breast pump.",clothing_and_accessories
"Krafto Men's Floral Gold Silk Sherwani Jutti Juttis are now one of the fundamental elements of ethnic fasion which make you feel connected to the Cultural Tradition of North India. Krafto bring you the best selection of these beautiful piece of art. These Golden Juttis are specially handcrafted with premium qualtiy Fabric to provide the comfort with traditional feel. These are perfect addon to your outfits for any occasion whether it be party, wedding or any of the other.",clothing_and_accessories
"Boys Swim Wear - Bodysuits for Boys | Nylon Spandex | Bothside Patch (with YKK Zip) Full Sleeves/Full Legs - 0H Boys Swim Wear Bodysuits Full Sleeves / Full Legs Comes with Nylon Spandex Fabric Contrast Full Sleeves front Chain Stitch with original YKK zip at the front & Bothside patch for ease of wearing and removing.tested under high chlorinated water for over 240 hours ,Fabric retains its shape , Dries fast ,UV ray protection (Upto UV 50+), Anti - tan technology ,Stretchable fabric ,Perfect Fit, Exceptional shape retention,Resistance to pulling and abrasion. Designed for athletic , professional and recreational use.",clothing_and_accessories
"Newera Waterproof PVC Unisex Transparent Overcoat Raincoat Rainwear(PVC-Raincoats-Yello) The New era rain coat for women rainwear is made out of thick PVC waterproof material durable, sturdy, light-weight.Keep yourself ready to face the rain with this full sleeves solid raincoat that is brought to you by NeweraBags.Simple and subtle raincoats in stylish design, this raincoat is crafted From heavy and premium transparent Plastic . This raincoat is sure to enhance your style quotient. Very Comfortable while travelling.It will be your best companion for kid, girls kids, women in rainy season.closure from Zipper, Two Side pockets in front, so that your valuable watches and mobile phones are safeguarded., is 100% waterproof i.e. all seams are electronically welded. Newera is the most trusted brand for all types of Raincoat. These Raincoats are more reliable with a classic smooth designed,Stylish in every sense.",clothing_and_accessories
"Miraan women's Cotton Unstitched Printed Dress Material(SGPRI628_Black_Free Size) Spruce up your ethnic collection this season with this stylish unstitched dress material from Miraan. Once stitched, team your set with heels or flats for an elegant look.",clothing_and_accessories
"Timer Combo of Laptop Bag and Chronograph Black Dial Watch with Sunglass for Men & Boys About Product:- We present combo of Laptop Bag, Watch, And sunglass. Suitable for Men and boys.  Laptop Bag:- Polyester Laptop Backpack Pump up your style quotient a notch higher as you step out carrying this Laptop Backpack. It has a vibrant and stylish design, along with the added benefit of spacious interiors. Made from polyester, this backpack features a black color along with the brand name in front. It also has multiple compartments with zippers, two side pockets, a top handle, and two adjustable shoulder straps. This backpack also has a padded back panel that provides comfort and back support. About Watch:- A unique range of watches for all generations. The watches are specially designed for those who believe in a trendy, classic and fashionable life. These watches are crafted from the finest raw materials and assembled with scrupulous attention to detail. The look of the watch is such that you can team it up with casual or formal outfits. When it all comes down to it, suave wrist watches, intricately designed and finished timepieces are what separate you from the rest. About Sunglass:- High on Style, this Sunglass comes in a Stylish Color and Frame. These Sunglasses for Men gives a great look with all kinds of outfits. Let this season see you stepping out in style flaunting sexy sunglasses. This is comfortable to wear and highly durable, rough and tough frame.",clothing_and_accessories
"Cloe Valentine Women's Flowing Swim Dress Layered 1pc Tankini Top(CV_LC41948-1,Grey,Freesize) Our best seller makes a stylish and improved comeback! The Flowing Swim Dress Layered 1pc Tankini Top is designed with unique two-in-one style. This modest tankini is designed in a flattering silhouette, features a built-in shelf bra with removable padding, and non-underwire design for comfortable fit. And the flowing skirted layer for better sun protection and silhouette. Not include a swim bottom.",clothing_and_accessories
Kiddeo Girl's Cotton Full Sleeve T-Shirt - Pack of 4 Kids printed full sleeve t-shirt for Girl's which is made up of 170 GSM 100% cotton and fastness guaranteed fabrics available in different combos with attractive print which will make your kid feel awesome. It is available in pack of 4.,clothing_and_accessories
"Shoppy Villa Women's Silicone Push up Bra (Beige_Free Size) Sjoppy Villa presents this beautiful bra. Size chart cup a : 70 a(32 a), 70 b(32 b), 75 a(34 a), 80 a(36 a) cup b : 70 c(32 c), 75 b(34 b), 80 b(36 b), 85 a(38 a) cup c : 85 b(38 b), 75 c(34 c), 80 c(36 c), 70 d(32 d) cup d : 75 d(34 d), 80 d(36 d), 85 c(38 c), 85 d(38 d) features strapless adhesive push up bra come with drawstring butterfly shaped design provides maximum support and cleavage without binding bra straps. Backless bra with wing-shaped style features center the extra fat of armpit to the boobies for enhancement. Reusable, skin-friendly silicone adhesive. Perfect for strapless and low-cut outfits, backless dresses and tops, better match with wedding dress and evening dresses how to wear 1. clean your skin this is the most important step. Gently clean your chest area with mild soap and water to remove body oil and residue from skin. Dry your skin with a soft towel. Do not use powders, oils, or fragrances anywhere near the chest area prior to applying your bra. 2. stand in front of the mirror and loosen the drawstring, then stick self-adhesive wing on both sides of your breast. 3. tighten the belt till a perfect cleavage appears 4. with both hands on the bra cups press firm for a few seconds to secure the hold. Now, you are ready to enjoy the total freedom and comfort of your bra how to wash: hand wash with mild soap and water and air dry. hurts coming off , If it's painful when taking off, please wet it and then take it slowly.",clothing_and_accessories
CREATURE UV Protected Wayfarer Unisex Sunglasses -(DOIT-003-004|Blue) - Combo Pack One of the amazing accessories to enhance your style statement is sunglasses. They are trendy and never really go out of style. Made of polycarbonate material our products are ergonomically designed to give you a comfortable head hugging fit. Thus providing all-day wearing comfort. Sunglasses by Creature have been designed keeping your comfort and care as our first priority. These sunglasses are really light and have been made of good quality frame with Stunning Looks & Flashy Colors. Creature sunglasses give you 100% protection against harmful UVA/UVB rays for your eye care. Stay young.,clothing_and_accessories
Creature Gaga Cat-Eye Oversized Sunglasses For Girls(Lens-Purple||Frame-Black||GAGA-007) One of the amazing accessories to enhance your style statement is sunglasses. They are trendy and never really go out of style. Made of polycarbonate material our products are ergonomically designed to give you a comfortable head hugging fit. Thus providing all-day wearing comfort. Sunglasses by Creature have been designed keeping your comfort and care as our first priority. These sunglasses are really light and have been made of high quality frame with Stunning Looks & Flashy Colors. Creature sunglasses give you 100% protection against harmful UVA/UVB rays for your eye care. Stay young.,clothing_and_accessories
"Hanes Men's Cotton Boxers (Pack of 2) 100% Cotton. Machine wash cold. Superior combed cotton fabric for softness and lustre. Shaped-to-fit, reinforced side vents at thighs for ease of movement.",clothing_and_accessories
"Zebronics CPU Cabinet With SMPS 121 Same design won't be gauranted , design will change according to availability, but u will get good design product for sure",electronics
"Adcom J1 (1.8 Inch Display, Dual Sim, FM Radio, Made in India, Black Red) Colour:black   Beautifully made with a polycarbonate shell that keeps it color even when scratched, the Adcom J1 is built to take on everyday life. J1's full featured file manager comes with materialistic UI and better file management with easy to access files on your mobile. #DeshKiDhadkan show off your phone not just with style but also with pride. Exclusively for you and Made In India.",electronics
"MagiDeal Swivel Turntable 6'', 8'', 9'', 12'' Round Metal Ball Bearing Rotating Table Swivel Plate TV Rack Desk Turntable for Use with TV Computer - silver, 6 Inch Size:6 Inch                                                                                 |                            Color:Silver   Description: - 360 degree rotation,full steel balls, excellent smoothness. - 110 lbs (50 kg) Load Capacity. Galvanised Steel Construction. - Carousel turntable bearing use quarter-inch balls and can be greased to dampen noise. - Ideal for Corner cabinets, storage solutions,chalk spinners,turntablekaleidoscopes,tabletop serving, pop display, magazine racks, movieposter display,television and computer monitor turntables, flowerarranging, cake decorating, revolving musical boxes, trade showdisplays. - Material: Zinc-platedSpecification: - Load Capacity: 50kg - Diameter: Approx. 135mm/ 6inch; 204mm/ 8 inch; 230mm/ 9 inch; 304mm/ 12 inch (optional) - Height: Approx. 9mm/ 0.35inchPackage Includes:1 Piece Lazy Susan BearingNote:Due to the light and screen setting difference, the item's color may beslightly different from the pictures.Please allow slight dimensiondifference due to different manual measurement.",electronics
"AmazonBasics High-Speed HDMI Cable, 3 Feet - Supports Ethernet, 3D, 4K video,Black Size name:3 Feet                                                                                 |                            Style name:Single Pack   Delivering clear, vibrant video, the AmazonBasics High-Speed HDMI Cable with Ethernet meets the latest standards, which means it considerably expands bandwidth up to 18 Gbps, offers 4K@50/60 (2160p) video resolution (four times more clarity than 1080p/60), and supports the wide-angle theatrical 21:9 video aspect ratio.",electronics
"higadget Universal Travel Charger Adapter Plug for All Electronic Devices and Gadgets (White) Higadget this charger adapter plug converts the power outlet only, it does not convert electrical output current and voltage. Please make sure your device carries a electrical converter when you travel to other countries with different electrical output. If your device requires a electrical converter, please pair up the electrical converter with this world travel charger plug. For example: notebook computers, gaming systems (PlayStation, XBOX, Wii,). Converts power outlet when traveling to other countries includes a travel pouch for easy storage led charging indicator. Features : capable of handling up to 250 volts and 13 watts, this adapter has a built-in surge protector that keeps your appliances safe from spikes in the flow of different voltage or frequency abroad. A much-needed feature in this worldwide travel charger plug is that it comes with a child protection safety shutter, providing security while travelling with children. Features like power indicator light and open and lock switches make this lightweight plug an indispensable item in your bag while travelling. Works worldwide : united states, canada, europe, middle east, south america, asia, the caribbean, great britain, ireland, africa, hong kong, singapore, australia, fiji, zealand, china, japan, and more than 150 countries.",electronics
"HELLO ZONE 7-inch USB Keyboard Tablet Case for Lenovo Tab3(Black) HELLO ZONE 7-inch USB Keyboard Tablet Case for Lenovo Tab3 (Black).Perfectly designed superior quality, light weight, stylish material.",electronics
"HP Desktop C2500 Keyboard+Mouse hp C2500 comes with strict HP standards. It is equipped with quality keyboard and a memeorable mouse. It's adjustable legs promote wrist control. The 1,200 dpi optical sensor works on most surfaces and lets you enjoy precise point and click actions.",electronics
"Verbatim CD-RW 700MB 2X-12X Rewritable Media Disc - 5 Pack Slim Case Style name:5-Disc   When it comes to CD Technology, Verbatim rewrote the book… Verbatim CD-RW is the industry standard for performance, compatibility, and the ultimate in reliability. Verbatim CD-RW utilizes an advanced super-eutectic phase change recording layer which ensures durability and reliability while archiving data at higher rewrite speeds. These discs allow you to rewrite data without errors up to 1,000 times.",electronics
Silicon Power DDR4 2400MHz PC4-19200 Desktop Memory Module CL17 288 Pins(4GB) Highly compatible with different models of computers and motherboards using AMD and Intel platforms,electronics
"Mivi 2Mtr High Speed HDMI Cable V2.0- 24K Gold Plated Connectors, 28AWG Braided, Ethernet, Audio Return, Support 3D,4K,2160p,1080p,ARC,HEC,HDCP (Deep) Size name:2 Meter    Backwards Compatible with Previous HDMI Standards:: Mivi HDMI V2.0 cable supports HDMI 2.0 Ports and enable to Connect 3D, 4K/HD TV 2160p, 1080p to computers, Xbox one, Xbox 360, Fire TV, PS4, PS3 and more HDMI devices. It also support previous versions HDMI (1.4v 1.3v 1.2v)  High-Quality Picture, Sound, and Ethernet in 1 Cable: Premium Nylon braided outer layer and shielding, which defends against outside interference, helping to maintain the integrity, purity of the digital signal and longer service life.The cable is flexible and can be easily twisted so that it will take less space.  24k Gold Plated Connectors: High-Speed HDMI Cable features 24K gold-plated, 99.996% and high purity oxygen-free copper, corrosion-resistant connectors that deliver optimal signal transfer with lower distortion at the point of contact. This dedication to the digital signal provides sound and picture quality that is truer to the original  High Speed with top Refresh rates: Transfer data at a super fast speed of 10.2Gbps/340Mhz. Supports up to 240hz Refresh Rates and 48-Bit Deep Color.  Mivi Warranty:Mivi Car Chargers comes with one year limited Manufacturing warranty.",electronics
"Hercules DJ Universal 4780773 Controller (Black) Experience true mixing freedom enjoy the freedom to move and groove with your party's crowd. In addition to your computer, you can also control your mix from your smartphone or tablet using built-in Bluetooth wireless technology and the my remote module provided by the dedicated djucedtm master app. Be creative like the pros with the ""my extender"" module in djucedtm master, you can let your creativity run wild. Create loop and fx combos with just one finger - something normally reserved for the pros. Applying and manipulating a professional-quality effect has never been this simple and fun. Get ready for your parties by sharing your playlist with party goers using djucedtm- ask them to vote for their favorite tracks. Using the djucedtm master app, you can view the voting results in real time. Your playlists will be guaranteed to please. While a party is underway, partygoers can vote for their favorite tracks and enjoy interacting with you live playlist votes are displayed on your second screen (tablet or smartphone), allowing you to follow developments in real time. Receive notifications about the songs and artist names that your audience wants to hearand even their messages for dedication requests. Customize your playlist and interactions with partygoers to make the night even more unforgettable. In the box: Hercules universal dj installation cd printed quick start guide and poster usb cable rca mini-jack audio cable. System requirements: Djucedtm pc/mac 2 ghz or faster cpu 2 gb ram ore more windows vista, 7, 8 (32 and 64 bits) mac osx 10.7 and higher (32 and 64 bits) djucedtm master (iOS and android) iOS 7 and higher/Bluetooth 4.0 iPhone 4s, iPod touch 5, iPad mini, iPad 3 and later devices android 4.0 and higher/ Bluetooth 3.0 djucedtm app (iOS and android) iOS 7 and higher/Bluetooth 4.0 iPad mini, iPad 3 and later devices android 4.0 and higher/Bluetooth 3.0.",electronics
"Armor' Radiation Shielding Laptop Pad - Latte Beige, Medium",electronics
"Samsung 6 kg Fully-Automatic Front Loading Washing Machine (WW60M206LMW/TL, White) ""No more fabric damage With most conventional washing machines, it is quite common for fabrics to protrude from these holes and be damaged in the process. But with the unique embossed design of the Diamond Drum, the holes are both 43% smaller and located deep within each diamond-shaped depression to prevent fabrics from sticking out and consequently being damaged. The Diamond Drum's unique “soft curl” design with smooth, diamond-shaped ridges is supremely gentle on your clothes. Its small water exit holes also help protect fabric by preventing clothes from becoming trapped. A Digital Inverter Motor delivers superior energy efficiency, minimal noise and exceptionally long-lasting performance, so it's certified to work for 20 years – backed-up by a 10 year warranty""",household
"Maybelline New York White Super Fresh Compact, Pearl, 8g Colour:pearl   The new perlite formula absorbs oil and sweat and gives you a fresh look all through the day, now with SPF 28. It's time to bid goodbye to touch-ups and stay fresh and fair up to 12 hours.",household
Planet Premium High Grade Stainless Steel Dish Drainer (Size:48 x 37 x 20 cm) Lifetime Warranty Material type:Stainless Steel                                                                                 |                            Size name:48 x 37 x 20 cm   High Quality Stainless Steel Big Dish Drainer. Ideal for storage of wet vessels.The product in display is storage basket or dish drainer made of stainless steel and finished in silver colour and is ideal to keep utensils.,household
PHILIPS Garment Steamer (GC300/20) A garment steamer of 1000 Watts from PHILIPS. Use it to perfectly maintain your garments.,household
"EZ Life 3 Pc - Kids Cutlery Set - Pink - Piglet - Spoon, Fork and Knife Set No more kids’ tantrums on the dining table!",household
"D'Mak E26/E27 Single Head Vintage Metal Tawa Hanging Light Pendant Ceiling Light Lamp Industrial Retro Country Style Dining Hall Restaurant Bar Cafe Lighting Use, Black Gold Details Brand: Lavish Pack Content: 1 Pendent Total Dimensions (LxBxH Inches): 14X14X20 Holder & Plug type: E27 Holder Bulb Recommended: CFL/LED Switch type: No Switch Total Weight (Kgs): 0.5 Cord Material: Aluminium Cord Length: 1 metre Fixture Material: Metal Fixture Color: Black Fixture Diameter: 4 Overview Raise the style quotient of your home by picking up one of these stunningly designed bell-shaped lamps. Elegant and sophisticated, these lamps have a high element of utility along with being decorative. A one stop-shop for home decor and furniture",household
"Zephyr Next-gen Garden Hose (1/2"" x 25ft, Ultra-Light Flexible Rubber, Brass Fittings),Blue Size:1/2"" x 25ft w/ fittings   The Zephyr or blubird rubber garden hose is the evolution of garden hoses as we know them. Combining the best elements of plastic or hybrid hoses (lightweight, abrasion) with those of rubber (all-weather performance, durability, flexibility), the Zephyr garden hoses allow the used-to-be-heavy rubber hoses be usable for all the members of the family. No cracking in the cold or limping in the heat, Zephyr hoses are a result of 20 years of refinement. Every single hose is proof-pressure tested and carries a 10-year warranty. There is simply not a single hose on the market that is a better buy.",household
"PAviitraCreation Electronic Kitchen Digital Weighing Scale (10 Kg, White) Healthy Diet Is An Essential Part Of Everyday Life, Do You Want To Join The Ranks Of Healthy Eating? Or Are You Worry About How To Choose A Digital Kitchen Scale? Please Pay Attention To This Digital Kitchen Scales, It Will Be Your Best Choice. This Is A Professional Scale Designed For Kitchen, Mail Room Or Even Your Workshop. It Has A Large Round Washable Tray For Routine Cleaning. It Ensures Accurate Weighing Even In High Humidity Areas As Its Splash-Proof Design. Product Descriptions: 1. It Is Made Of High Quality Material, Durable Enough For Your Daily Using 2. Beautiful Appearance, Special Surface Treatment 3. Carefully Design, Excellent For Use 4. Wide Lcd Screen Display, Easy To Read 5. Tare Function 6. Low Power Consumption 7. Automatically Lock The Reading When Data Is Stable Product Details: 1. Condition: New 2. Max Weight: 10000G/ 353Oz 3. Min Weight: 1G/ 0.0353Oz 4. Units: G,Oz 5. Accuracy Resolution: 1G, 0.1Oz 6. Material Abs 7. Color: White 8. Display: Lcd 9. Auto Power Off: Yes 10. Dimensions: (9.65X 6.7 X1.38)In/ (24.5 X 17 X 3.5)Cm (L X W X H) 11. Weighing Platform Diameter: 5.79In/ 14.7Cm 12. Weight: 419 G / 14.78 Oz Package Includes: 1 X Kitchen Scale 2 X 1.5V Aa Batteries",household
Aproca Hard Travel Case Compatible Kiss Products Ceramic Instawave 1â€ Automatic Curling Iron Aproca hard travel case for kiss products ceramic instawave 1â€ automatic curling iron,household
"General Electric WH43X118 Washer/Dryer Combo Agitator Cap Product Description This is a Genuine Replacement Part, The Model Number and Name for The Following Item: General Electric (GENF0) WH43X118 Washer/dryer Combo Agitator Cap. From the Manufacturer This is a Genuine Replacement Part,The Model Number and Name for The Following Item: General Electric (GENF0) WH43X118 Washer/dryer Combo Agitator Cap",household
"Srxes Stainless Steel Egg Boiler Electric Automatic Off Steamer Cooker Poacher, Multi Colour This innovative Egg Boiler Poacher is made of high quality stainless steel heater boils eggs in just 7 mins, which in effect means that it costs less than 10 paisa for 7 eggs. It boils egg in steam generated by stainless steel heater in 220V/400W Power with 25 ML Water. It is advisable to use drinking water for long life of the heater. Add Water According to the measuring cup, as per the number of eggs you want to cook.  The eggs will come out delicious, nutritional and cooked just right. It is easy to peel the shell, and the eggs wont crack. Great Design with Nice Appearance Makes For a Great Gift for Your Family and Friends SalientFeatures: Food Grade Material , Unbreakable Crystal Clear Top Cover, New and Improved High Capacity Design, High Efficiency Stainless Steel Heating Plate , Double Thermal Protection for Safe Application, Easy To Read Operation Indicator Light. Cooking Capacity up to 7 Eggs. Can Be Used as a Food Steamer. Enjoy Different DIY Egg Dishes.Rated Voltage: AC 220-240V 50-60Hz, Power Rating: 350W, Unit size: 16x16x16 cm",household
"Trendy Ceramic Green Studio Table Serving Platter (Set of 2) Serving in a Platter can help keep your kitchen more organized and clutter free. Platter has been designed to add beauty and functionality to your interiors. The minimalistic design ensures that the Platter can be kept in the middle of your dining table and can be used as a server in front of your guests. It has been designed to be a durable and sturdy addition and therefore, the Platter can be used every day. Easy to use and maintain and can be a great accessory for all homes. (ABOUT THE ART : Stoneware Painting: Khurja in Uttar Pradesh is well-known for all the stoneware it produces. The finely crafted cups and saucers, and bowls and trays are they painted with absolute finesse. Our collection of stoneware brings to you the finest of them.) Color – Green Material – Ceramic Size –Dia x H = LxW = 8×3.5 Inch",household
